ID,Date,City,Area,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude
PK-2026057,07/02/2020 03:15:00 PM,Karachi,North Nazimabad,THEFT,$500 AND UNDER,SIDEWALK,False,False,2020,24.84427,67.000091
PK-2026058,10/15/2024 08:00:00 AM,Karachi,Gulshan-e-Iqbal,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2024,24.87821,66.948805
PK-2026059,09/30/2020 10:16:00 AM,Lahore,Shalimar,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2020,31.558193,74.353437
PK-2026060,09/16/2024 06:28:43 PM,Lahore,Iqbal Town,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2024,31.532432,74.315879
PK-2026061,06/02/2021 05:23:11 PM,Lahore,Samanabad,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,False,2021,31.608082,74.379307
PK-2026062,10/10/2023 03:01:30 PM,Faisalabad,D-Ground,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,2023,31.463093,73.112243
PK-2026063,12/10/2025 02:10:00 PM,Lahore,Township,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",False,False,2025,31.518167,74.338226
PK-2026064,06/23/2024 02:00:00 PM,Lahore,Johar Town,THEFT,$500 AND UNDER,OTHER,False,False,2024,31.501914,74.284994
PK-2026065,04/25/2023 09:00:00 PM,Islamabad,Bahria Town,BURGLARY,FORCIBLE ENTRY,MEDICAL/DENTAL OFFICE,False,False,2023,33.642743,72.996594
PK-2026066,12/30/2022 11:45:00 AM,Karachi,Malir,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,False,2022,24.830215,66.988199
PK-2026067,12/08/2023 08:42:57 PM,Faisalabad,Peoples Colony,ROBBERY,ARMED: HANDGUN,GAS STATION,True,False,2023,31.409682,73.132593
PK-2026068,04/03/2024 11:00:00 AM,Karachi,Korangi,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,2024,24.823088,67.013102
PK-2026069,07/24/2023 02:30:00 AM,Gujranwala,Model Town,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2023,32.161911,74.1695
PK-2026070,10/06/2022 06:25:00 PM,Faisalabad,Susan Road,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,2022,31.411205,73.158398
PK-2026071,06/16/2022 09:00:00 AM,Karachi,Clifton,THEFT,$500 AND UNDER,STREET,False,False,2022,24.908312,67.044315
PK-2026072,08/14/2021 07:00:00 AM,Karachi,Liaquatabad,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2021,24.810328,67.034682
PK-2026073,12/31/2021 10:00:00 PM,Faisalabad,D-Ground,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,False,2021,31.453341,73.079754
PK-2026074,07/24/2025 01:10:00 PM,Peshawar,Cantt,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,True,False,2025,34.004348,71.522561
PK-2026075,03/23/2021 04:47:00 PM,Peshawar,Gulbahar,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,True,False,2021,34.072985,71.477492
PK-2026076,03/05/2020 12:00:00 PM,Faisalabad,Jaranwala Road,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",STREET,False,False,2020,31.403845,73.104045
PK-2026077,03/21/2024 12:29:34 AM,Karachi,Defence (DHA),ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2024,24.848443,67.0595
PK-2026078,08/18/2022 07:00:00 PM,Lahore,Iqbal Town,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,2022,31.606036,74.300699
PK-2026079,03/30/2024 12:00:00 AM,Karachi,Liaquatabad,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,HOTEL/MOTEL,False,False,2024,24.904561,67.000967
PK-2026080,03/27/2023 12:00:00 PM,Multan,Gulgasht Colony,DECEPTIVE PRACTICE,FORGERY,GAS STATION,False,False,2023,30.195549,71.539079
PK-2026081,01/26/2022 12:30:00 PM,Rawalpindi,Raja Bazaar,NARCOTICS,MANU/DELIVER:CRACK,PARK PROPERTY,True,False,2022,33.536048,73.041196
PK-2026082,08/10/2025 01:50:00 PM,Lahore,Model Town,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,2025,31.510207,74.350758
PK-2026083,09/03/2023 10:19:21 PM,Karachi,North Nazimabad,BATTERY,SIMPLE,SIDEWALK,False,False,2023,24.880937,66.942273
PK-2026084,01/16/2022 11:15:00 AM,Lahore,Model Town,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,2022,31.601225,74.322775
PK-2026085,10/02/2024 10:00:00 PM,Lahore,Township,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",ALLEY,False,False,2024,31.556512,74.345725
PK-2026086,02/05/2020 04:00:00 PM,Peshawar,Ring Road,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2020,34.023694,71.475444
PK-2026087,01/05/2020 04:10:51 AM,Rawalpindi,Westridge,ASSAULT,AGGRAVATED: HANDGUN,OTHER,True,False,2020,33.538697,72.998975
PK-2026088,05/07/2024 03:48:38 PM,Multan,Cantt,BATTERY,SIMPLE,PARK PROPERTY,True,True,2024,30.189839,71.468884
PK-2026089,10/31/2023 12:15:00 PM,Islamabad,I-8,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,True,False,2023,33.646845,72.997329
PK-2026090,03/22/2021 08:00:00 PM,Karachi,Nazimabad,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, BUILDING",False,False,2021,24.839542,66.988731
PK-2026091,01/18/2022 02:00:00 AM,Peshawar,Charsadda Road,THEFT,OVER $500,FACTORY/MANUFACTURING BUILDING,False,False,2022,34.006152,71.480826
PK-2026092,04/03/2021 09:00:00 PM,Faisalabad,Peoples Colony,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2021,31.451313,73.143105
PK-2026093,12/02/2023 10:00:00 PM,Islamabad,G-6,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,False,False,2023,33.653489,73.070636
PK-2026094,08/12/2023 09:31:15 AM,Faisalabad,Jaranwala Road,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,False,2023,31.40418,73.17107
PK-2026095,06/08/2020 12:06:32 PM,Islamabad,G-6,THEFT,$500 AND UNDER,STREET,False,False,2020,33.697674,73.011918
PK-2026096,06/16/2025 08:00:00 AM,Islamabad,F-10,BATTERY,SIMPLE,RESIDENCE,False,True,2025,33.659036,73.007998
PK-2026097,04/14/2020 02:30:00 AM,Lahore,Iqbal Town,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,True,2020,31.559449,74.296148
PK-2026098,07/18/2024 09:00:00 PM,Karachi,Clifton,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2024,24.819224,67.017472
PK-2026099,12/27/2024 12:00:00 AM,Karachi,North Nazimabad,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,2024,24.858437,67.025877
PK-2026100,02/11/2022 01:30:00 PM,Karachi,Liaquatabad,BATTERY,SIMPLE,STREET,False,False,2022,24.864611,66.94489
PK-2026101,01/01/2022 04:04:36 PM,Rawalpindi,Westridge,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2022,33.511319,73.069245
PK-2026102,01/21/2025 01:30:00 PM,Lahore,Faisal Town,THEFT,OVER $500,DEPARTMENT STORE,True,False,2025,31.530093,74.289837
PK-2026103,08/15/2022 08:00:00 PM,Islamabad,E-11,THEFT,$500 AND UNDER,STREET,False,False,2022,33.64053,73.052856
PK-2026104,02/25/2024 02:00:00 PM,Hyderabad,Cantt,BATTERY,SIMPLE,OTHER,False,False,2024,25.343605,68.382887
PK-2026105,04/24/2023 11:00:00 PM,Karachi,Malir,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,2023,24.919495,67.045616
PK-2026106,03/17/2024 08:20:00 AM,Lahore,Defence (DHA),THEFT,$500 AND UNDER,STREET,False,False,2024,31.528382,74.36929
PK-2026107,05/13/2023 06:20:00 PM,Peshawar,Gulbahar,THEFT,OVER $500,STREET,False,False,2023,34.052285,71.561107
PK-2026108,10/26/2020 09:29:14 AM,Karachi,Liaquatabad,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"SCHOOL, PUBLIC, BUILDING",False,False,2020,24.831257,66.981834
PK-2026109,05/05/2020 11:10:00 PM,Karachi,Landhi,ASSAULT,SIMPLE,STREET,False,False,2020,24.88248,67.038879
PK-2026110,10/19/2022 08:00:00 PM,Lahore,Gulberg,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2022,31.580927,74.293214
PK-2026111,06/21/2023 10:00:00 PM,Karachi,Saddar,THEFT,$500 AND UNDER,STREET,False,False,2023,24.872177,67.048478
PK-2026112,12/05/2025 08:00:00 PM,Hyderabad,Latifabad,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2025,25.392589,68.363511
PK-2026113,01/27/2025 05:07:00 PM,Faisalabad,Peoples Colony,BATTERY,SIMPLE,APARTMENT,True,False,2025,31.439821,73.173076
PK-2026114,03/27/2020 08:45:00 PM,Rawalpindi,Committee Chowk,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2020,33.546964,73.011178
PK-2026115,07/09/2020 11:41:10 AM,Multan,Bosan Road,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,True,True,2020,30.209043,71.542129
PK-2026116,06/13/2025 06:00:00 PM,Faisalabad,Susan Road,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2025,31.490074,73.138168
PK-2026117,04/11/2025 04:00:00 PM,Karachi,Gulshan-e-Iqbal,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,False,False,2025,24.916503,67.028891
PK-2026118,01/31/2022 06:40:00 PM,Multan,Bosan Road,THEFT,$500 AND UNDER,BAR OR TAVERN,True,False,2022,30.112416,71.474696
PK-2026119,10/17/2025 10:40:00 PM,Islamabad,E-11,BATTERY,SIMPLE,APARTMENT,False,True,2025,33.712104,72.995142
PK-2026120,08/11/2024 01:35:00 AM,Faisalabad,Susan Road,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2024,31.503001,73.104652
PK-2026121,04/20/2025 07:00:00 PM,Multan,Bosan Road,CRIMINAL DAMAGE,TO VEHICLE,OTHER,False,False,2025,30.119248,71.484045
PK-2026122,02/19/2023 09:00:00 AM,Lahore,Garden Town,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,2023,31.49768,74.388214
PK-2026123,05/31/2022 04:30:00 PM,Karachi,Korangi,THEFT,$500 AND UNDER,STREET,False,False,2022,24.889634,66.967406
PK-2026124,03/22/2025 10:00:00 PM,Karachi,Liaquatabad,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,ALLEY,True,False,2025,24.869637,67.058204
PK-2026125,06/18/2023 11:00:00 AM,Lahore,Model Town,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,2023,31.590719,74.324027
PK-2026126,04/04/2025 05:30:00 AM,Faisalabad,D-Ground,BATTERY,SIMPLE,RESIDENCE,False,True,2025,31.407173,73.096854
PK-2026127,11/01/2022 06:00:00 AM,Multan,Cantt,THEFT,$500 AND UNDER,RESIDENCE,False,False,2022,30.192932,71.559664
PK-2026128,08/19/2020 08:45:00 PM,Karachi,Liaquatabad,THEFT,$500 AND UNDER,STREET,False,False,2020,24.824895,67.020145
PK-2026129,04/02/2023 09:00:00 PM,Islamabad,Blue Area,NARCOTICS,POSS: CRACK,STREET,True,False,2023,33.644039,73.047683
PK-2026130,04/03/2022 09:56:23 PM,Lahore,Township,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,2022,31.509412,74.350244
PK-2026131,03/04/2021 02:00:00 AM,Karachi,Gulshan-e-Iqbal,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,APARTMENT,False,False,2021,24.898449,67.027404
PK-2026132,08/15/2024 10:05:00 PM,Karachi,Korangi,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2024,24.880524,66.968515
PK-2026133,04/24/2020 02:00:00 PM,Lahore,Shalimar,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,False,False,2020,31.552468,74.40316
PK-2026134,09/05/2023 03:00:00 PM,Quetta,Satellite Town,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA APARTMENT,True,False,2023,30.16286,67.031975
PK-2026135,11/19/2020 02:30:00 PM,Lahore,Samanabad,BATTERY,SIMPLE,"SCHOOL, PRIVATE, BUILDING",False,False,2020,31.594964,74.361639
PK-2026136,11/12/2021 04:57:51 PM,Islamabad,F-8,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2021,33.671493,73.011845
PK-2026137,07/20/2022 02:00:00 PM,Peshawar,Saddar,BATTERY,SIMPLE,STREET,False,False,2022,34.053092,71.546527
PK-2026138,06/25/2021 04:00:00 PM,Lahore,Garden Town,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,2021,31.542396,74.292264
PK-2026139,09/02/2025 09:15:00 PM,Gujranwala,Satellite Town,NARCOTICS,POSS: COCAINE,ALLEY,True,False,2025,32.172933,74.138178
PK-2026140,05/25/2021 12:00:00 PM,Quetta,Cantt,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,False,False,2021,30.175322,66.945922
PK-2026141,10/14/2023 03:00:00 PM,Lahore,Iqbal Town,THEFT,OVER $500,STREET,False,False,2023,31.525865,74.339115
PK-2026142,06/28/2023 10:22:27 PM,Islamabad,Sector G-10,BATTERY,SIMPLE,RESIDENCE,False,True,2023,33.714113,73.092093
PK-2026143,11/02/2023 03:40:00 PM,Lahore,Faisal Town,ASSAULT,SIMPLE,RESIDENCE,False,False,2023,31.550026,74.37086
PK-2026144,11/21/2020 08:00:00 PM,Lahore,Defence (DHA),CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2020,31.517566,74.372725
PK-2026145,05/06/2021 06:00:00 PM,Karachi,Clifton,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,2021,24.908649,66.992159
PK-2026146,01/26/2023 06:00:00 PM,Rawalpindi,Raja Bazaar,ASSAULT,SIMPLE,RESIDENCE,False,True,2023,33.551167,72.998412
PK-2026147,06/11/2023 10:59:23 AM,Islamabad,F-10,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,False,2023,33.689626,73.032425
PK-2026148,11/26/2024 10:50:00 AM,Karachi,Liaquatabad,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2024,24.909477,67.059618
PK-2026149,11/15/2022 09:05:00 AM,Lahore,Garden Town,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, BUILDING",False,False,2022,31.564609,74.288413
PK-2026150,05/17/2021 01:40:04 AM,Hyderabad,Latifabad,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,2021,25.350028,68.401844
PK-2026151,01/10/2023 12:45:00 PM,Karachi,Nazimabad,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,2023,24.91348,67.010541
PK-2026152,06/19/2024 06:00:00 PM,Karachi,Malir,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2024,24.876025,66.993734
PK-2026153,01/09/2022 03:30:00 PM,Islamabad,G-6,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2022,33.664589,73.074931
PK-2026154,11/12/2025 11:30:00 AM,Gujranwala,Model Town,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2025,32.144413,74.1929
PK-2026155,07/02/2023 09:00:00 PM,Karachi,Gulshan-e-Iqbal,THEFT,OVER $500,STREET,False,False,2023,24.895983,67.045911
PK-2026156,03/31/2022 08:05:03 PM,Peshawar,Charsadda Road,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2022,34.029509,71.572984
PK-2026157,04/17/2025 07:00:00 PM,Faisalabad,Gulberg,THEFT,OVER $500,COLLEGE/UNIVERSITY GROUNDS,False,False,2025,31.454415,73.125607
PK-2026158,03/28/2023 04:15:00 PM,Karachi,North Nazimabad,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,2023,24.907967,66.974319
PK-2026159,12/29/2021 02:00:00 AM,Peshawar,University Town,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,2021,34.049732,71.535982
PK-2026160,05/31/2021 11:40:00 AM,Lahore,Defence (DHA),MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2021,31.507901,74.393084
PK-2026161,11/05/2020 07:00:00 PM,Rawalpindi,Satellite Town,ASSAULT,SIMPLE,STREET,False,False,2020,33.542507,72.982179
PK-2026162,04/09/2021 10:00:00 AM,Rawalpindi,Satellite Town,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,True,False,2021,33.534919,73.031656
PK-2026163,11/09/2021 02:15:00 PM,Islamabad,G-6,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2021,33.713674,73.063687
PK-2026164,04/30/2021 04:00:00 AM,Karachi,Gulshan-e-Iqbal,BATTERY,SIMPLE,RESIDENCE,False,True,2021,24.804724,67.029074
PK-2026165,09/15/2025 02:35:00 AM,Faisalabad,Susan Road,BURGLARY,FORCIBLE ENTRY,STREET,False,False,2025,31.458787,73.090788
PK-2026166,07/25/2021 12:05:00 PM,Lahore,Johar Town,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",True,False,2021,31.581195,74.369499
PK-2026167,03/17/2020 02:30:00 AM,Karachi,Clifton,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2020,24.905912,67.050184
